Percent unemployed,Vehicles per household,Median Income,Household Density,Day population density,Percent below poverty level,Residential Area,Commerical/Industrial/MU Area,Other Area,Undeveloped Area,Developed Open Space Area,Developed Low Intensity Area,Developed Medium Intensity Area,Developed High Intensity Area,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Net Passengers
15.3,1,24924,1354.080661,4945.9,39.82,139703.6371,143168.8852,13495.41798,1650,134280,988350,551100,334830,172,13,1002,515,724,0
11.58,1,19574,1351.503916,5135.3,39.81,99125.0248,133470.04,10529.18391,6360,151110,809460,645690,397500,196,17,610,460,542,0
7.96,0,18194,2092.318749,24653.4,39.8,57685.17144,357844.8461,37580.31903,7590,17820,231240,577170,1176270,182,18,88,431,469,0
19.17,1,15708,708.6054858,1749.5,39.8,59882.26631,27462.63225,401.5838194,616410,438720,447660,140760,181020,17,3,341,454,628,0
11.72,1,20373,1189.168852,3817.3,39.79,76925.64676,96880.07204,5786.268984,51480,539160,614100,506010,299220,152,13,428,466,542,0
11.65,1,27781,1400.462127,3585.4,39.73,167007.8101,93467.31501,10900.51424,89490,380550,1077450,346950,116310,91,14,1146,545,779,0
13.49,1,19797,1272.913139,2556,39.72,138364.0975,33640.85672,2639.656605,417810,530550,826260,208560,27180,78,15,791,471,638,2
13.58,0,19830,1314.141079,2831.7,39.64,142364.2696,38258.58406,2524.34442,325410,539100,891900,213870,40380,84,14,827,473,648,1
13.58,0,19830,1314.141089,2831.7,39.64,140108.3184,38153.15769,2524.34442,341070,549240,872790,204510,42210,83,14,814,473,648,0
13.84,1,20378,1618.197271,4755.2,39.62,106638.9862,123874.1199,3093.061787,95130,422040,794820,457290,240810,164,9,693,413,464,1
19.2,1,15860,554.0006489,1428.8,39.61,38581.7798,37686.89427,539.0162957,727800,381270,402750,191670,129360,24,2,172,452,630,1
12.03,1,27820,740.8148327,2921.9,39.57,88392.52328,161593.3849,61829.54632,30030,151050,769560,654150,405450,175,11,611,549,797,0
19.15,1,15775,689.2798763,1727.6,39.53,49381.54562,43319.21294,210.0504002,709290,417930,383520,145950,190410,20,2,262,456,631,1
