Percent Unemployed,Vehicles per Household,Percent below poverty level,Median income,Household Density,Daytime Population Density,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Residential area,Commercial/Industrial area,Other area,Net Passengers
0,0,0,0,0,0,5370,180,30,0,0,0,0,0,464
11.11,0.9,46.67,21760,1568.961594,1975.729414,0,12360,22770,9450,0,2756.58932,1091.768462,322.9357506,469
14.29,0.9,44.44,19092,2864.67975,2327.552297,0,4710,9780,0,0,1725.175296,0,0,465
0,0,0,0,0,0,1320,1860,0,0,0,0,0,0,464
7.14,0.9,46.15,21729,523.5056949,5130.35581,0,5010,26820,15210,27210,2276.73754,9281.298119,0,469
0,1.3,33.33,25000,1838.146041,689.3047652,0,2610,7980,750,0,811.5831063,459.3994628,0,464
0,2.1,30.77,28901,1064.159637,1418.879516,0,17460,7800,3660,300,1497.302193,1406.676604,0,464
0,1.8,9.52,52786,155.7157774,532.0289061,82380,133110,69510,41550,72720,5374.503349,14364.51313,0,464
4.55,2.1,30.77,28988,1180.106016,1287.388382,1830,27780,13020,5880,0,1438.964685,612.6122588,0,464
0,1.7,0,50000,92.71389218,103.0154358,171840,55470,21930,2010,0,1410.524924,0,418.290244,464
0,0,0,0,0,0,0,330,690,0,0,0,0,0,464
0,0,0,0,114.514632,20841.66303,0,0,3420,11880,30060,0,8620.515618,0,462
0,1,0,0,108.4386169,1301.263402,0,2400,7500,13020,750,0,3105.967484,0,464
0,0,0,0,0,0,1800,5040,2460,0,0,0,0,0,464
0,0,0,0,0,0,0,0,1200,2460,0,0,0,0,464
0,0,0,0,0,0,0,390,1410,210,0,0,0,0,464
0,0,0,0,0,0,780,2370,6300,1440,0,0,0,0,464
0,0,0,0,0,0,0,0,0,270,0,0,0,0,464
0,0,0,0,0,0,0,960,9690,4320,360,0,0,0,464
0,0,0,0,0,0,0,0,6870,3420,10770,0,0,0,464
0,0,0,0,0,0,6360,0,11970,300,480,0,0,0,464
0,2.3,0,200001,94.11171957,70.58378968,97920,11640,480,0,0,537.174516,0,0,464
4.3,2.1,6.45,101329,694.6040726,1008.296234,47460,91830,89820,2160,0,16317.61044,4.059214719,0,464
0,2.2,0,118327,246.7865162,308.4831453,30360,10020,1500,0,0,2092.351174,0,0,464
2.28,0,3.58,117375,393.8905618,516.5777859,1278510,504120,216390,6360,0,78232.84455,1037.893694,658.9288132,464
2.13,0,2.82,116437,494.5226874,895.4870286,290040,49080,48510,0,0,16431.30224,749.5260412,0,464
0,0,0,0,0,0,226320,93930,93510,49050,82290,0,7952.177485,0,464
0,0,0,0,258.1857066,6325.54981,0,0,0,6870,13260,0,2548.687657,0,464
2.91,1.4,6.25,50898,153.266912,565.9928108,1585680,563880,139170,55620,21870,32968.51371,17672.93524,2201.810564,464
0,0,0,0,0,0,0,420,990,0,0,0,0,0,464
0,1.4,0,100000,729.8529558,262.7470641,28440,30180,21630,8580,0,6069.053508,0,0,464
5,1.2,31.58,25000,3031.718574,3031.718574,0,6990,13260,4590,0,3208.657733,0,0,463
1.11,1.5,7.04,31570,918.939294,1366.9222,83610,98430,42240,1290,0,11058.80916,0,224.7826759,464
7.14,1.8,0,46511,2085.957358,2781.276477,0,6060,8760,0,0,1810.14153,0,0,464
0,1.5,9.52,32338,1944.287904,2542.530335,0,23310,11340,0,0,3161.561884,0,203.4536454,464
0,1.5,0,20000,504.8278095,504.8278095,0,750,7320,2220,0,226.3766966,0,0,464
0,0,0,0,0,0,0,1440,960,180,0,0,0,0,464
0,0,0,0,0,0,0,2400,2610,8010,2430,0,0,0,464
0,0,0,0,0,0,10650,15780,1080,900,0,0,0,0,464
0,0,0,0,0,0,24120,13590,3090,0,0,0,0,0,464
0,0,0,0,0,0,21780,53280,6330,0,0,0,0,0,464
0,0,0,0,0,0,0,14580,9690,960,0,0,0,0,464
0,0,0,0,0,0,37740,9060,2280,0,0,0,0,0,464
0,0,0,0,0,0,0,6870,19470,38430,14850,0,0,19270.50761,464
0,0,0,0,0,122.8495291,0,1590,12810,18570,30120,0,8111.24504,0,464
4.62,1.6,29.73,35776,1501.239823,1816.015915,9660,76740,17400,3180,0,5491.928617,119.2531759,0,464
0,0,0,0,0,14206.91944,0,5040,13470,11130,0,0,5414.647643,0,469
0,0,0,0,0,0,22830,11160,60,0,0,0,0,0,464
0,0,0,0,0,0,0,0,11760,5130,16770,0,0,0,464
0,0,0,0,0,2464.83601,0,690,30150,30390,11220,0,7600.403683,0,464
1.73,2,0,0,9.187307744,10583.77852,21180,136590,69090,40350,14970,0,26011.06909,0,464
0,2,9.09,79776,1799.568212,1649.604195,0,1500,15810,0,0,2611.136693,0,0,464
0,2,7.14,80000,1365.176027,1638.211232,0,9810,18360,0,0,3802.695793,0,0,464
0,1.8,0,68182,1243.394181,1921.609189,0,29310,16590,0,0,4044.653193,0,0,464
