No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
178,520,32446,387,477,1032,218,814,4723.1,10.8,1.2,0.218473335,143,35.84,1314,23509773.81,22832,38,357,415,58
179,630,0,0,0,2380,2380,0,1765.1,0,0,1.348370694,0,0,0,0,0,0,106,97,9
180,570,0,0,0,1275,1275,0,1121.7,0,0,1.136721684,0,0,0,0,0,0,50,67,17
181,1190,44151,643,1002,987,69,918,724,5.3,1.6,1.363218632,183,28.33,1499,4296870.36,35785,59,64,54,10
182,580,46011,158,393,2665,2475,190,3618,6.6,1.5,0.736622139,18,7.06,359,1904061.474,38579,64,11,29,18
183,440,44262,36,49,546,449,97,2059.6,6.7,1.4,0.265135199,10,28.57,169,2491424.3,35000,58,140,162,22
184,500,34039,582,638,1189,330,859,3966,14.7,1,0.299818802,185,30.18,1442,18796747.52,26544,44,363,347,16
185,1660,83385,541,1127,821,117,704,1608.5,10.1,1.7,0.510373218,111,17,1376,10526158.73,55850,92,0,0,0
186,1630,66605,848,0,3099,1858,1241,3494.6,4.5,0,0.886813477,138,16.07,1888,8312158.763,53933,89,136,167,31
187,1700,49764,1003,1414,1043,173,870,448.4,1.4,1.3,2.325872954,210,18.63,1907,3201320.511,35758,59,0,0,0
188,1680,59168,513,963,880,223,657,770,8.8,1.6,1.142915484,113,18.34,1118,3818761.32,41005,68,0,0,0
189,1670,53483,554,919,686,135,551,1586.1,0,1.7,0.432456145,54,9.94,1146,10346099.18,45822,76,0,0,0
190,1690,69291,439,781,491,95,396,1613.5,1.1,1.7,0.304283291,21,4.6,842,10803735.87,45101,74,0,0,0
